track_id,name,artist,spotify_preview_url,spotify_id,tags,genre,year,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
TRPNYVG12903CBA2D1,The Ghost of Tom Joad,Rage Against the Machine,https://p.scdn.co/mp3-preview/65aeba64446260387b180f36bf2c4024b272a81a?cid=774b29d4f13844c495f206cafdad9c86,0DoFU1GzWYhRlqcuy1Mffl,"rock, alternative, metal, alternative_rock, hard_rock, hardcore, 90s, funk, cover",Rock,2000,338466,0.344,0.924,7,-4.897,1,0.322,0.0183,4.99e-05,0.243,0.191,138.663,4
TRBGFKW128F427FCBE,Tight,Mindless Self Indulgence,https://p.scdn.co/mp3-preview/563278b9ab72908e811bb1c16e769d398f75ac0c?cid=774b29d4f13844c495f206cafdad9c86,0fqDLp5s0wctxSXt35uNXi,"punk, industrial",,2011,169346,0.502,0.939,5,-5.391,1,0.242,0.015,0.000402,0.318,0.447,153.689,4
TRAISYO128E07888A6,Mine Again,Mariah Carey,https://p.scdn.co/mp3-preview/6814771538f85def861170c16e12a02e7dba462d?cid=774b29d4f13844c495f206cafdad9c86,0hGIw0V4LlUYqBntavQUu2,"pop, soul, rnb",RnB,2005,241693,0.691,0.34,7,-9.11,0,0.0577,0.711,1.18e-05,0.154,0.347,131.917,4
TRILHTU128EF3409AF,Pretty People,Low,https://p.scdn.co/mp3-preview/5030ba5c118757d0d0519afec6e44aa948dc3f2c?cid=774b29d4f13844c495f206cafdad9c86,3jGHFUxoRXLQPSNBcU8jWN,"rock, indie, indie_rock, post_rock, noise",,2007,180960,0.129,0.261,2,-11.255,1,0.0349,0.419,0.00325,0.0831,0.0652,73.036,4
TRSYIXY128F934EB7B,I Come Alive,The Used,https://p.scdn.co/mp3-preview/eebd04447c74bfb32cf7262e76f23c5e9b32ef9d?cid=774b29d4f13844c495f206cafdad9c86,04ETWHQBnbaYrcTUWqTT2Z,"rock, alternative_rock, post_hardcore, pop_rock",,2012,205627,0.514,0.952,2,-5.008,0,0.133,0.000198,0.000515,0.143,0.188,108.458,3
TRNVLKM128F4285E1C,The Rain Must Fall,Yanni,https://p.scdn.co/mp3-preview/38970bc4c1107034de0eabaaadc87292b2190ef5?cid=774b29d4f13844c495f206cafdad9c86,0hVNgeGZt6bRdkcpg599eZ,"instrumental, classical, piano, new_age",New Age,2012,491613,0.554,0.948,7,-5.725,0,0.0512,0.131,0.627,0.969,0.489,131.25,4
TRLYEHP128F9300BF1,Just for You,Sam Cooke,https://p.scdn.co/mp3-preview/f249d58b7742ab8620b00ba4a9fd9d211b18ca5b?cid=774b29d4f13844c495f206cafdad9c86,0Cyuz7SV1WlGAJsEGXxKTn,"soul, 60s, oldies",,2011,142106,0.583,0.57,5,-8.103,1,0.0794,0.72,0.0,0.321,0.873,137.341,4
TRCHQWQ128F92FA037,Scorpion Frog,Infected Mushroom,https://p.scdn.co/mp3-preview/15e77a2e63f430192184abe5d6ff40da1da19978?cid=774b29d4f13844c495f206cafdad9c86,1AXFr8PDNB5SvUOxkWGPcn,"electronic, psychedelic, trance, techno",,2013,478560,0.746,0.79,2,-7.803,1,0.0516,0.00374,0.868,0.32,0.356,146.016,4
TRHXWOD128F9343197,Good Morning Night,Bad Astronaut,https://p.scdn.co/mp3-preview/b763751793015f353c1b4fca0b54326b592497c3?cid=774b29d4f13844c495f206cafdad9c86,20O6DugBGASzVPycCtTFe9,"punk_rock, emo, ska",,2006,233333,0.358,0.916,9,-4.574,1,0.0573,0.000519,0.0,0.142,0.368,154.214,4
TRPBAOQ12903D03F85,Tempted To Touch,Rupee,https://p.scdn.co/mp3-preview/de1ffcb87deeaae67b7a3646f36e7b7ae00cb62f?cid=774b29d4f13844c495f206cafdad9c86,0ENQCg0FziqV4VB9U2xTf5,reggae,,2003,212586,0.835,0.847,2,-6.89,0,0.0562,0.113,0.0,0.0771,0.926,105.991,4
